题目ID,原GPT裁定档,修订后主标签,可接受等级,复核状态,修订后置信度,教师标准档,初次盲评档,复核依据,复核证据来源,题干,选项,官方解析,题目图片URL,解析图片URL,结构_步骤,结构_题型,结构_状态,结构_约束,结构_实验,结构_图表,结构_推理
2290668466418765824,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图是“探究影响音调高低因素”的实验装置。下列说法正确的是（ ）,A. 实验中，改变钢尺伸出桌面的长度是为了改变钢尺振动的频率 B. 实验中，保持钢尺振动的振幅相同是运用了控制变量法 C. 钢尺伸出桌面越长，振动越快 D. 钢尺振动得越快，频率越高，发出的声音音调越高,解：A、实验中，改变钢尺伸出桌面的长度是为了改变钢尺振动的频率，故A正确； B、实验中，保持钢尺振动的振幅相同是运用了控制变量法，故B正确； C、钢尺伸出桌面越长，振动越慢，故C错误； D、钢尺振动得越快，频率越高，发出的声音音调越高，故D正确。 故选：ABD。,https://k12static.xdf.cn/k12/image/externalized/25f7a426-a303-4a2e-b7fd-6c5d145ae044.png,https://k12static.xdf.cn/k12/image/externalized/3e798617-750d-480d-88a2-a0e3e06759a8.png,1-2步,概念判断,单状态,无约束,控制变量或故障分析,无,简单因果推理
2291679002701086720,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,某同学用一把分度值为1mm的直尺，先后测量同一木块的厚度，五次测量结果分别是3.12cm、3.14cm、3.32cm、3.12cm、3.12cm。则测量该木块的厚度的记录结果是（ ）,A. 3.12cm B. 3.125cm C. 3.13cm D. 3.16cm,解：依据取多次测量平均值的方法，在最后结果除不尽时采取四舍五入，保留到小数点后面两位。 所以木块的厚度=$\frac{3.12cm+3.14cm+3.12cm+3.12cm}{4}$=3.125cm≈3.13cm。 故选：C。,https://k12static.xdf.cn/k12/image/externalized/7ea07307-740b-465c-b4d6-d3b80f4eaebb.png,https://k12static.xdf.cn/k12/image/externalized/58042672-45d8-4cd6-9a67-b0addfadb071.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2328296993517297664,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示的电路，闭合开关后，当滑片P向左移动时，下列说法正确的是（ ）,A. 灯泡L变亮 B. 电压表示数变大 C. 电流表A1示数变小 D. 电路消耗的总功率变大,解：由图可知滑动变阻器R与灯L并联，电压表的示数显示的是电源电压，当滑片P向左移动时，电压表的示数不变，故选项B是错误的； 当滑片P向左移动时，不影响灯L所在的支路的电压和电流，所以灯L的亮度不变，故选项A是错误的； 当滑片P向左移动时，灯L所在的支路电流不变，滑动变阻器所在的支路电压不变，电阻减小，电流增大，而电流表A1的示数是干路中的电流，所以A1的示数增大，故选项C是错误的； 当滑片P向左移动时，电路中的总电流增大，总电压不变，由电功率公式P=UI可知电功率增大，故选项D是正确的。 故选：D。,https://k12static.xdf.cn/k12/image/externalized/52263d8a-feec-4275-993a-7128486acc6b.png,https://k12static.xdf.cn/k12/image/externalized/31975d05-1a23-48c6-947b-5a3c567f4b95.png,3-5步,电路综合,双状态,单一约束,无,无,多层因果推理
2336939532704858112,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,滑块被固定在光滑斜面底端的压缩弹簧弹出，滑块离开弹簧后沿斜面向上运动的过程中，不考虑空气阻力，关于滑块的受力示意图正确的是（ ）,,解：光滑斜面，则滑块不受摩擦力作用，故只受竖直向下的重力和垂直于斜面向上的支持力作用。 A、图中支持力方向错误，故A错误； B、图中只画了重力和支持力，且其作用点和方向均正确，故B正确； C、图中重力方向错误，故C错误； D、图中画了摩擦力示意图，故D错误。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/620aa991-21a9-4bed-8b20-73aa098d89e0.png,https://k12static.xdf.cn/k12/image/externalized/37c54889-8b36-4a2c-a66d-2a413861ddec.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2352775425867919360,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,一张报纸平摊后用剪刀将它剪成相等的四份，其中的一份平放在水平桌面上，则它对桌面的压强约为（ ）,A. 0.25帕 B. 0.75帕 C. 1帕 D. 4帕,"解：一张报纸对水平桌面的压强约为1Pa。用剪刀将它剪成相等的四份，压力和面积均变为原来的$\frac{1}{4}$，根据$p=\frac{F}{S}$可知，它对桌面的压强不变，仍为1Pa,故C正确。 故选C。",https://k12static.xdf.cn/k12/image/externalized/c6ea55af-e28a-4353-a596-5930dc0e183c.png,https://k12static.xdf.cn/k12/image/externalized/dc108d25-84ac-4f60-ab11-cd68c2371480.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2354294166169890816,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,拔高题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示是在一个标准大气压p0下完成的托里拆利实验，玻璃管先竖直放置，管内水银上方为真空，再让玻璃管倾斜，水银充满全管，如图所示，玻璃管倾斜后，水银对玻璃管上端压强为（ ）,A. 2cm水银柱的压强 B. 0 C. 76cm水银柱的压强 D. 74cm水银柱的压强,"解：在一个标准大气压p0下，大气压等于76cm高水银柱产生的压强；让玻璃管倾斜，水银充满全管，水银柱的高度为74cm,水银对玻璃管上端压强等于76cm-74cm=2cm水银柱的压强。故A正确，BCD错误。 故选：A。",https://k12static.xdf.cn/k12/image/externalized/fe612313-a0b1-43eb-a711-a2b372ddcd25.png,https://k12static.xdf.cn/k12/image/externalized/0c6d11fb-5e04-4473-985a-2d94559c0aa9.png,1-2步,概念判断,双状态,单一约束,无,无,简单因果推理
2355737047499063296,拔高题,中等题,中等题|拔高题,修订GPT主标签,高,拔高题,拔高题,需要围绕标准实验流程、读数与数据归纳完成常规的3—4个有效决策，或完成一套完整标准实验/共享过程分析。关系仍显性、方法常规，没有决定性隐含转换、复杂边界筛选或多状态强耦合。,三次运行错题并集逐题复核,某同学在做萘的熔解[熔化]实验时，根据记录的数据，画出了如图所示的曲线。如果记录和作图没有错误，则以下判断中错误的是（ ）,A. 在t1时刻刚停止加热，t2时刻又开始加热 B. 在t=0的时刻显示的温度就是萘的熔点 C. 在0～t1的时间内含有萘的放热过程 D. 在t1～t2的时间内萘在不断地放出热量,解：A、这个图显示的应该是萘从固液混合态慢慢冷却之后又加热的过程。所以“在t1时刻刚停止加热，t2时刻又开始加热”的前半句是错误的。 B、0到t1是萘正在结晶的过程，这个过程中液态的萘不断变成固态的萘，但因为是晶体而不会有温度变化，但凝固过程肯定是放热的，当然是不需要加热的。所以“在t=0的时刻显示的温度就是萘的熔点”； C、“在0～t1的时间内含有萘的放热过程”是正确的； D、t1到t2的时间段里，萘已经全部是固体了，但由于温度还比常温高，所以仍在放热冷却，所以“在t1～t2的时间内萘在不断地放出热量”正确。 故选：A。,https://k12static.xdf.cn/k12/image/externalized/18da4178-ba49-4f46-b936-8fac5dc06c14.png,https://k12static.xdf.cn/k12/image/externalized/88a2e8c7-64af-4759-b5c7-4b9f314f4dfd.png,3-5步,概念判断,双状态,无约束,无,多组比较归纳,多层因果推理
2359091761527738368,拔高题,中等题,中等题|拔高题,修订GPT主标签,高,拔高题,拔高题,需要围绕力学模型、运动/受力与能量关系完成常规的3—4个有效决策，或完成一套完整标准实验/共享过程分析。关系仍显性、方法常规，没有决定性隐含转换、复杂边界筛选或多状态强耦合。,三次运行错题并集逐题复核,"随着人们生活水平的日益提高，小汽车越来越多地走进了百姓人家。一辆使用汽油为燃料的小汽车，以72km/h的速度在水平路面上匀速行驶时，发动机的实际功率为20kW；若小汽车行驶的路程为108km,汽油的热值q=4.6×107J/kg,小汽车发动机的效率为25%。则关于小汽车在这段路程中，下列说法正确的是（ ）",A. 运动的时间为1.2h B. 发动机所做的功为1.08×108J C. 汽车所受的阻力为1000N D. 消耗汽油的质量为5kg,"解：A、运动的时间t=$\frac{s}{v}$=$\frac{108km}{72km/h}$=1.5h,故A错误。 B、发动机所做的功W有=Pt=20×103W×1.5×3600s=1.08×108J，故B正确。 C、汽车的牵引力F=$\frac{P}{v}$=$\frac{20×10^{3}W}{20\;m/s}$=103N，因为汽车的功率是20kW，汽车做匀速运动，所以阻力等于牵引力，为1000N，故C正确。 D、汽油燃烧放出的热量Q=$\frac{{W}_{有}}{η}$=$\frac{1.08×1{0}^{8}J}{0.25}$=4.32×108J，消耗汽油的质量m=$\frac{Q}{q}$=$\frac{4.32×1{0}^{8}J}{4.6×1{0}^{7}J}$≈9.4kg,故D错误。 故选：BC。",https://k12static.xdf.cn/k12/image/externalized/57f7fa94-b4e4-4119-b2ad-0898401cd827.png,https://k12static.xdf.cn/k12/image/externalized/82475d13-8dee-4fd0-a6d9-6407742074fc.png,3-5步,热学综合,单状态,无约束,无,无,多层因果推理
2426721994671964160,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图是无线电广播工作过程的简易图。话筒把播音员的 转换成 信号，调制器把音频信号加载到 电流上发射到空中，收音机接收到各种电磁波并从中选出特定频率的信号。通过解调将 信号留下，通过 把播音员的声音从收音机播放出来。,,解：话筒将声信号转化为音频电信号，而后该信号经调制器后加载在高频电磁波上，然后由天线发射到空中； 收音机接收装置收到空中的各种电磁波，并通过调谐器从众多的电磁波中找出特定频率的信号，通过调谐器选出音频电信号，送到扬声器即可发出声音。 故答案为：声信号；电；高频；音频；扬声器。,https://k12static.xdf.cn/k12/image/externalized/4e61b545-2555-40d7-9c78-f27ad2ea55dd.png,https://k12static.xdf.cn/k12/image/externalized/a64c78b7-1fbd-4ae5-b3bf-14a1279ac709.png,1-2步,概念判断,单状态,无约束,无,无,直接套用
2426820619775299584,中等题,拔高题,中等题|拔高题,修订GPT主标签,高,中等题,拔高题,最高难任务在受力、浮力/压强与状态变化中包含图线反推、状态转换、误差评价、几何/等效转换、方程联立或参数反求等决定性卡点，整体约5—6个有效决策；尚未形成压轴所需的完整复杂约束网络。,三次运行错题并集逐题复核,如图所示，底面积不同的物体甲、乙分别放置在水平地面上，它们对地面的压强相等。若在两物体上方分别水平截去部分物体后，剩余部分物体对地面的压强仍然相等，则截去部分的物体可能具有（ ）​,A. 相同的高度，不同的质量 B. 相同的体积，不同的质量 C. 相同的质量，不同的高度 D. 相同的质量，不同的体积,解：CD、已知底面积不同的物体甲、乙分别放置在水平地面上，它们对地面的压强相等，即p甲=p乙，由图可知，S甲＞S乙，由p=$\frac{F}{S}$可知，甲、乙对地面的压力F甲＞F乙，则G甲＞G乙，m甲＞m乙， 若在两物体上方分别水平截去部分物体后，剩余部分物体对地面的压强仍然相等，即p甲剩=p乙剩， 设水平截去部分物体的质量分别为m甲切、m乙切，则$\frac{{F}_{甲}-{m}_{甲切}g}{{S}_{甲}}$=$\frac{{F}_{乙}-{m}_{乙切}g}{{S}_{乙}}$， 因为F甲＞F乙，S甲＞S乙，所以截去部分的物体质量m甲切＞m乙切，因此截去部分的物体质量不可能相同，故CD错误； AB、已知底面积不同的物体甲、乙分别放置在水平地面上，它们对地面的压强相等，即p甲=p乙， 由图可知，h甲＜h乙，由p=$\frac{F}{S}$=$\frac{G}{S}$=$\frac{mg}{S}$=$\frac{ρVgh}{S}$=ρgh可知，甲、乙的密度关系ρ甲＞ρ乙， 若截取相同的高度，则剩余部分物体对地面的压强不会相等，故A错误； 已经推出m甲切＞m乙切，由ρ=$\frac{m}{V}$可得，截去部分的物体体积可能相同，也可能不同，故B正确。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/5e2ee2fc-2c61-417e-9aea-e6ef0927d8c3.png,https://k12static.xdf.cn/k12/image/externalized/9f7ac9e1-d411-4063-a362-f50741d690b5.png,3-5步,力学综合,双状态,单一约束,无,无,多层因果推理
2428756805070626816,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示，一块长为L、质量分布均匀的木板A放在水平桌面上，板A右端与桌边相齐，在板的右端施一水平力F使板A右端缓慢地离开桌边$\frac{1}{3}$，在板A移动过程中，下列说法正确的是（ ）,A. A对桌面的摩擦力不断变小 B. A对桌面的弹力是桌面形变产生的 C. A对桌面的压强不变 D. 桌面对A的弹力不变,解：A、因滑动摩擦力的大小只与接触面的粗糙程度和压力的大小有关， 所以，在板的右端施一水平力F使板A右端缓慢地离开桌边$\frac{1}{3}$时，压力和接触面的粗糙程度不变， 所以，A受到桌面的摩擦力不变，故A错误； B、A对桌面的弹力是A发生形变产生的，故B错误； C、因水平面上物体的压力和自身的重力相等， 所以，在板A移动过程中，A对桌面的压力不变，因在板的右端施一水平力F使板A右端缓慢地离开桌边$\frac{1}{3}$时，木板与桌面的接触面积变小，受力面积变小，所以，由p=$\frac{F}{S}$可知，A对桌面的压强变大，故C错误； D、桌面对A的弹力与A对桌面的压力是一对相互作用力，大小相等，由于A对桌面的压力不变，所以桌面对A的弹力不变，故D正确。 故选：D。,https://k12static.xdf.cn/k12/image/externalized/e85826ae-4ab8-4603-9d0f-1e48934115e6.png,https://k12static.xdf.cn/k12/image/externalized/16f7fa04-3866-4d5a-8486-cb6a1fbb98e9.png,1-2步,概念判断,连续变化,无约束,无,无,多层因果推理
2483355573030768640,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,将一个体育测试用的实心球和一个乒乓球同时没入水中，放手后发现：实心球沉入水底。而乒乓球浮出水面，如图所示。比较实心球和乒乓球没入水中时受到的浮力大小，则（ ）,A. 实心球受到的浮力大 B. 乒乓球受到的浮力大 C. 它们受到的浮力一样大 D. 不能确定,解：两球没入水中后，实心球排开水的体积较大，由F浮=ρ水gV排可知，实心球受到的浮力较大，A正确，BCD错误。 故选：A。,https://k12static.xdf.cn/k12/image/externalized/41511d35-8de5-4dec-b063-2dbb2afa2e32.png,https://k12static.xdf.cn/k12/image/externalized/379b1538-4b3c-4912-b35d-999d77bd2c88.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
