题目ID,最终裁定档,裁定置信度,教师标准档,裁定结果,裁定方式,具体裁定原因,教师分析疑点
3065782535253766144,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及多状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2765596994741768192,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含多约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2749685708213227520,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为跨模块综合、推理为直接套用；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
3002268275727421440,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2141356039168929792,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3291073367126155264,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含多约束、推理为逆向推理或临界分析，与拔高题边界一致。 复核证据：独立盲评与三次模型中有3/4支持拔高题。,
2906612162087952384,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为1-2步、题型为概念判断、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2355737047499063296,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、图表要求达到“多组比较归纳”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2693227725309968384,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3055882987938803712,送分题,中,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题；题目仅调用一个唯一熟悉模板，教师送分可接受。,
2719618158232449024,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2863124294878400512,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2822786717855305728,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2515952195406446592,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2850085355103477760,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及多状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2373133670859956224,基础题,高,送分题,送分题→基础题,改高,原标偏低。最长有效链为1-2步、题型为概念判断、涉及双状态、推理为简单因果推理；实际任务已超过送分题所允许的直接识别/显性应用范围，裁定为基础题。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
3045794319270465536,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2817150884467482624,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及多状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659089348756783104,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2748448006084079616,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为电路综合、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3030081539417636864,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2580386279006679040,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2851465867814342656,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659087259892727808,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2490568645809586176,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2631537743113244672,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。 教师分析疑点：教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称单一知识点，但实际包含多个独立判断任务
3659088559271329792,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2264327991126155264,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为电路综合、推理为多层因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2767022724833972224,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为热学综合、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659087283716374528,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2852802132670771200,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2139865472817008640,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、涉及双状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2284490359024951296,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、实验要求达到“基础操作或读数”、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2956361046495891456,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为光学声学综合、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2749813318690029570,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3678666541213175808,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2531525130076389376,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2984618125088612352,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3407714353294630912,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2696329697105305600,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、涉及多状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659088580964270080,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、含多约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2623891277361733632,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2676010981702615040,基础题,高,送分题,送分题→基础题,改高,原标偏低。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；实际任务已超过送分题所允许的直接识别/显性应用范围，裁定为基础题。 复核证据：独立盲评与三次模型中有4/4支持基础题。 教师分析疑点：教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称单一知识点，但实际包含多个独立判断任务
3583484353160990720,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及多状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3135959210371682304,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为9-12步、题型为跨模块综合、涉及多状态、含多约束、实验要求达到“方案设计或误差评价”、图表要求达到“图像反推或外推”、推理为逆向推理或临界分析，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3021025329385111552,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为电路综合、实验要求达到“基础操作或读数”、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2264328088771907584,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含单一约束、推理为多层因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3670061256279695360,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为6-8步、题型为力学综合、涉及双状态、含单一约束、推理为多层因果推理，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2222300708677566464,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2234554433063890944,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、含单一约束、推理为多层因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
3258789626952314880,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2446718954919993344,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2804006722561654784,拔高题,中,中等题,中等题→拔高题,改高,原标偏低。最长有效链为1-2步、题型为力学综合、含单一约束、推理为多层因果推理；实际任务已超过中等题所允许的直接识别/显性应用范围，裁定为拔高题。 复核证据：各独立判断分裂，先取五方中位档；存在决定性反推/等效/临界结构。,
3659087340205260800,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2832718128352886784,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2941420832465129472,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2609656745966174208,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为光学声学综合、涉及双状态、含单一约束、实验要求达到“控制变量或故障分析”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3023682768417857536,基础题,中,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：各独立判断分裂，先取五方中位档；低结构概念题按基础封顶。,
2534200446703419392,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2799289765416701952,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、图表要求达到“直接读数”、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2747154472781033472,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为力学综合、含单一约束、推理为逆向推理或临界分析，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2602619134745075712,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
3560066508573966336,拔高题,中,中等题,中等题→拔高题,改高,原标偏低。最长有效链为3-5步、题型为跨模块综合、涉及双状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理；实际任务已超过中等题所允许的直接识别/显性应用范围，裁定为拔高题。 复核证据：各独立判断分裂，先取五方中位档。,
2992110964677812224,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3592356938405941248,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为6-8步、题型为跨模块综合、涉及双状态、含多约束、实验要求达到“方案设计或误差评价”、图表要求达到“直接读数”、推理为逆向推理或临界分析，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2616455392173776896,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
2810715360535023616,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2711047801716199424,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2317122708735619072,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为概念判断、图表要求达到“多组比较归纳”、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
2763302932226842624,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为跨模块综合、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3052782342720278528,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为概念判断、涉及双状态、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2610676572127506432,拔高题,中,压轴题,压轴题→拔高题,改低,原标偏高。最长有效链为3-5步、题型为图像表格分析、涉及双状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理；未出现，裁定为拔高题。 复核证据：独立盲评与三次模型中有3/4支持中等题；缺少四方一致或明确矛盾，裁定限制为相邻档调整。,
2833950432095989760,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为实验探究、含单一约束、实验要求达到“控制变量或故障分析”、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3676924369101479936,中等题,高,拔高题,拔高题→中等题,改低,原标偏高。最长有效链为3-5步、题型为力学综合、涉及双状态、含单一约束、推理为多层因果推理；未出现分类讨论、临界/极值、边界筛选或多状态多约束全链耦合，裁定为中等题。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3650594816076840960,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、涉及双状态、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2332267173723000832,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为声学综合、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2594862980194119680,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为实验探究、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3643524993439789056,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为跨模块综合、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3128366280143347712,拔高题,中,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为跨模块综合、涉及双状态、含单一约束、实验要求达到“方案设计或误差评价”、图表要求达到“多组比较归纳”、推理为多层因果推理，与拔高题边界一致。 复核证据：各独立判断分裂，先取五方中位档。,
2925014335379001344,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3087035829816758272,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为光学声学综合、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3166703143433306112,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及多状态、含单一约束、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2264327909711310848,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为电路综合、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2457550218900586496,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为力学综合、含单一约束、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有4/4支持基础题。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2735477409699160064,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
